id,type,price,a_min,a_max,search
45443,XT1C160R80,126.06,53.55,68,cb 3p 80a 25ka 
45513,XT1C160R80,164.75,53.55,68,cb 4p 80a 25ka 
45435,XT1C160R100,126.06,68,85,cb 3p 100a 25ka 
45503,XT1C160R100,164.75,68,85,cb 4p 100a 25ka 
45436,XT1C160R125,159.33,85,106.25,cb 3p 125a 25ka 
45504,XT1C160R125,209.74,85,106.25,cb 4p 125a 25ka 
45505,XT1C160R125,209.74,85,106.25,cb 4p(N=50%) 125a 25ka 
45437,XT1C160R160,195.78,106.25,136,cb 3p 160a 25ka 
45506,XT1C160R160,255.08,106.25,136,cb 4p 160a 25ka 
45507,XT1C160R160,255.08,106.25,136,cb 4p(N=50%) 160a 25ka 
79878,XT1N160R16,142.76,0,13.6,cb 3p 16a 36ka 
79892,XT1N160R16,192.06,0,13.6,cb 4p 16a 36ka 
79879,XT1N160R20,142.76,13.6,17,cb 3p 20a 36ka 
79893,XT1N160R20,192.06,13.6,17,cb 4p 20a 36ka 
79880,XT1N160R25,142.76,17,21.25,cb 3p 25a 36ka 
79894,XT1N160R25,192.06,17,21.25,cb 4p 25a 36ka 
45453,XT1N160R32,142.76,21.25,27.2,cb 3p 32a 36ka 
45527,XT1N160R32,192.06,21.25,27.2,cb 4p 32a 36ka 
45454,XT1N160R40,142.76,27.2,34,cb 3p 40a 36ka 
45528,XT1N160R40,192.06,27.2,34,cb 4p 40a 36ka 
45455,XT1N160R50,142.76,34,42.5,cb 3p 50a 36ka 
45529,XT1N160R50,192.06,34,42.5,cb 4p 50a 36ka 
45456,XT1N160R63,142.76,42.5,53.55,cb 3p 63a 36ka 
45530,XT1N160R63,192.06,42.5,53.55,cb 4p 63a 36ka 
45457,XT1N160R80,142.76,53.55,68,cb 3p 80a 36ka 
45531,XT1N160R80,192.06,53.55,68,cb 4p 80a 36ka 
45450,XT1N160R100,142.76,68,85,cb 3p 100a 36ka 
45522,XT1N160R100,192.06,68,85,cb 4p 100a 36ka 
45451,XT1N160R125,198.89,85,106.25,cb 3p 125a 36ka 
45523,XT1N160R125,265.93,85,106.25,cb 4p 125a 36ka 
45524,XT1N160R125,265.93,85,106.25,cb 4p(N=50%) 125a 36ka 
45452,XT1N160R160,214.42,106.25,136,cb 3p 160a 36ka 
45525,XT1N160R160,278.08,106.25,136,cb 4p 160a 36ka 
45526,XT1N160R160,278.08,106.25,136,cb 4p(N=50%) 160a 36ka 
79881,XT1S160R16,200.58,0,13.6,cb 3p 16a 50ka 
79895,XT1S160R16,250.42,0,13.6,cb 4p 16a 50ka 
79882,XT1S160R20,200.58,13.6,17,cb 3p 20a 50ka 
79896,XT1S160R20,250.42,13.6,17,cb 4p 20a 50ka 
79866,XT1S160R25,200.58,17,21.25,cb 3p 25a 50ka 
79897,XT1S160R25,250.42,17,21.25,cb 4p 25a 50ka 
79883,XT1S160R32,200.58,21.25,27.2,cb 3p 32a 50ka 
79898,XT1S160R32,250.42,21.25,27.2,cb 4p 32a 50ka 
79884,XT1S160R40,200.58,27.2,34,cb 3p 40a 50ka 
79899,XT1S160R40,250.42,27.2,34,cb 4p 40a 50ka 
45461,XT1S160R50,200.58,34,42.5,cb 3p 50a 50ka 
45537,XT1S160R50,250.42,34,42.5,cb 4p 50a 50ka 
45462,XT1S160R63,207.26,42.5,53.55,cb 3p 63a 50ka 
45538,XT1S160R63,259.81,42.5,53.55,cb 4p 63a 50ka 
45463,XT1S160R80,207.26,53.55,68,cb 3p 80a 50ka 
45539,XT1S160R80,259.81,53.55,68,cb 4p 80a 50ka 
45458,XT1S160R100,211.72,68,85,cb 3p 100a 50ka 
45532,XT1S160R100,264.50,68,85,cb 4p 100a 50ka 
45459,XT1S160R125,275.66,85,106.25,cb 3p 125a 50ka 
45533,XT1S160R125,363.62,85,106.25,cb 4p 125a 50ka 
45534,XT1S160R125,363.62,85,106.25,cb 4p(N=50%) 125a 50ka 
45460,XT1S160R160,347.31,106.25,136,cb 3p 160a 50ka 
45535,XT1S160R160,440.45,106.25,136,cb 4p 160a 50ka 
45536,XT1S160R160,440.45,106.25,136,cb 4p(N=50%) 160a 50ka 
79885,XT1H160R16,228.36,0,13.6,cb 3p 16a 70ka 
79900,XT1H160R16,283.84,0,13.6,cb 4p 16a 70ka 
79886,XT1H160R20,228.36,13.6,17,cb 3p 20a 70ka 
79901,XT1H160R20,283.84,13.6,17,cb 4p 20a 70ka 
79887,XT1H160R25,228.36,17,21.25,cb 3p 25a 70ka 
79902,XT1H160R25,283.84,17,21.25,cb 4p 25a 70ka 
79888,XT1H160R32,228.36,21.25,27.2,cb 3p 32a 70ka 
79903,XT1H160R32,283.84,21.25,27.2,cb 4p 32a 70ka 
79889,XT1H160R40,228.36,27.2,34,cb 3p 40a 70ka 
79904,XT1H160R40,283.84,27.2,34,cb 4p 40a 70ka 
45447,XT1H160R50,228.36,34,42.5,cb 3p 50a 70ka 
45519,XT1H160R50,283.84,34,42.5,cb 4p 50a 70ka 
45448,XT1H160R63,233.49,42.5,53.55,cb 3p 63a 70ka 
45520,XT1H160R63,294.10,42.5,53.55,cb 4p 63a 70ka 
45449,XT1H160R80,233.49,53.55,68,cb 3p 80a 70ka 
45521,XT1H160R80,294.10,53.55,68,cb 4p 80a 70ka 
45444,XT1H160R100,238.63,68,85,cb 3p 100a 70ka 
45514,XT1H160R100,297.52,68,85,cb 4p 100a 70ka 
45445,XT1H160R125,295.76,85,106.25,cb 3p 125a 70ka 
45515,XT1H160R125,403.19,85,106.25,cb 4p 125a 70ka 
45516,XT1H160R125,403.19,85,106.25,cb 4p(N=50%) 125a 70ka 
45446,XT1H160R160,381.32,106.25,136,cb 3p 160a 70ka 
45517,XT1H160R160,480.63,106.25,136,cb 4p 160a 70ka 
45518,XT1H160R160,480.63,106.25,136,cb 4p(N=50%) 160a 70ka 
45479,ΧΤ3N250R63,335.01,42.5,53.55,cb 3p 63a 36ka 
45559,ΧΤ3N250R63,409.74,42.5,53.55,cb 4p 63a 36ka 
45480,XT3N250R80,335.01,53.55,68,cb 3p 80a 36ka 
45560,XT3N250R80,409.74,53.55,68,cb 4p 80a 36ka 
45474,XT3N250R100,335.01,68,85,cb 3p 100a 36ka 
45550,XT3N250R100,409.74,68,85,cb 4p 100a 36ka 
45475,XT3N250R125,343.74,85,106.25,cb 3p 125a 36ka 
45551,XT3N250R125,419.68,85,106.25,cb 4p 125a 36ka 
45552,XT3N250R125,419.68,85,106.25,cb 4p(N=50%) 125a 36ka 
45476,XT3N250R160,351.23,106.25,136,cb 3p 160a 36ka 
45553,XT3N250R160,427.70,106.25,136,cb 4p 160a 36ka 
45554,XT3N250R160,427.70,106.25,136,cb 4p(N=50%) 160a 36ka 
45477,XT3N250R200,353.39,136,170,cb 3p 200a 36ka 
45555,XT3N250R200,441.99,136,170,cb 4p 200a 36ka 
45556,XT3N250R200,441.99,136,170,cb 4p(N=50%) 200a 36ka 
45478,XT3N250R250,353.39,170,212.5,cb 3p 250a 36ka 
45557,XT3N250R250,441.99,170,212.5,cb 4p 250a 36ka 
45558,XT3N250R250,441.99,170,212.5,cb 4p(N=50%) 250a 36ka 
45486,XT3S250R63,402.11,42.5,53.55,cb 3p 63a 50ka 
45570,XT3S250R63,517.84,42.5,53.55,cb 4p 63a 50ka 
45487,XT3S250R80,402.11,53.55,68,cb 3p 80a 50ka 
45571,XT3S250R80,517.84,53.55,68,cb 4p 80a 50ka 
45481,XT3S250R100,402.11,68,85,cb 3p 100a 50ka 
45561,XT3S250R100,517.84,68,85,cb 4p 100a 50ka 
45482,XT3S250R125,417.95,85,106.25,cb 3p 125a 50ka 
45562,XT3S250R125,529.82,85,106.25,cb 4p 125a 50ka 
45563,XT3S250R125,529.82,85,106.25,cb 4p(N=50%) 125a 50ka 
45483,XT3S250R160,430.14,106.25,136,cb 3p 160a 50ka 
45564,XT3S250R160,544.21,106.25,136,cb 4p 160a 50ka 
45565,XT3S250R160,544.21,106.25,136,cb 4p(N=50%) 160a 50ka 
45484,XT3S250R200,439.89,136,170,cb 3p 200a 50ka 
45566,XT3S250R200,553.79,136,170,cb 4p 200a 50ka 
45567,XT3S250R200,553.79,136,170,cb 4p(N=50%) 200a 50ka 
45485,XT3S250R250,439.89,170,212.5,cb 3p 250a 50ka 
45568,XT3S250R250,553.79,170,212.5,cb 4p 250a 50ka 
45569,XT3S250R250,553.79,170,212.5,cb 4p(N=50%) 250a 50ka 
45488,XT4H250R200,489.00,136,170,cb 3p 200a 70ka 
45572,XT4H250R200,639.40,136,170,cb 4p 200a 70ka 
45489,XT4H250R250,489.00,170,212.5,cb 3p 250a 70ka 
45573,XT4H250R250,639.40,212.5,212.5,cb 4p 250a 70ka 
45574,XT2Ν160R10,297.32,0,8.2,cb 3p 10a 36ka 
45589,XT2Ν160R10,414.02,0,8.2,cb 4p 10a 36ka 
45575,XT2Ν160R25,297.32,8.2,20.5,cb 3p 25a 36ka 
45590,XT2Ν160R25,414.02,8.2,20.5,cb 4p 25a 36ka 
45576,XT2Ν160R63,297.32,20.5,51.66,cb 3p 63a 36ka 
45591,XT2Ν160R63,414.02,20.5,51.66,cb 4p 63a 36ka 
45577,XT2Ν160R100,297.32,51.66,82,cb 3p 100a 36ka 
45592,XT2Ν160R100,414.02,51.66,82,cb 4p 100a 36ka 
45578,XT2Ν160R160,337.93,82,131.2,cb 3p 160a 36ka 
45593,XT2Ν160R160,433.38,82,131.2,cb 4p 160a 36ka 
45579,XT2S160R10,369.07,0,8.2,cb 3p 10a 50ka 
45594,XT2S160R10,493.86,0,8.2,cb 4p 10a 50ka 
45580,XT2S160R25,369.07,8.2,20.5,cb 3p 25a 50ka 
45595,XT2S160R25,493.86,8.2,20.5,cb 4p 25a 50ka 
45581,XT2S160R63,369.07,20.5,51.66,cb 3p 63a 50ka 
45596,XT2S160R63,493.86,20.5,51.66,cb 4p 63a 50ka 
45582,XT2S160R100,369.07,51.66,82,cb 3p 100a 50ka 
45597,XT2S160R100,493.86,51.66,82,cb 4p 100a 50ka 
45583,XT2S160R160,389.68,82,131.2,cb 3p 160a 50ka 
45598,XT2S160R160,505.47,82,131.2,cb 4p 160a 50ka 
45584,XT2H160R10,398.66,0,8.2,cb 3p 10a 70ka 
45599,XT2H160R10,521.62,0,8.2,cb 4p 10a 70ka 
45585,XT2H160R25,398.66,8.2,20.5,cb 3p 25a 70ka 
45600,XT2H160R25,521.62,8.2,20.5,cb 4p 25a 70ka 
45586,XT2H160R63,398.66,20.5,51.66,cb 3p 63a 70ka 
45601,XT2H160R63,521.62,20.5,51.66,cb 4p 63a 70ka 
45587,XT2H160R100,398.66,51.66,82,cb 3p 100a 70ka 
45602,XT2H160R100,521.62,51.66,82,cb 4p 100a 70ka 
45588,XT2H160R160,411.08,82,131.2,cb 3p 160a 70ka 
45603,XT2H160R160,531.41,82,131.2,cb 4p 160a 70ka 
45608,XT4N250R250,457.51,131.2,205,cb 3p 250a 36ka 
45623,XT4N250R250,575.09,131.2,205,cb 4p 250a 36ka 
45613,XT4S250R250,492.24,131.2,205,cb 3p 250a 50ka 
45628,XT4S250R250,646.55,131.2,205,cb 4p 250a 50ka 
45618,XT4H250R250,535.00,131.2,205,cb 3p 250a 70ka 
45633,XT4H250R250,694.56,131.2,205,cb 4p 250a 70ka 
24453,T5N400R400,726.43,205,328,cb 3p 400a 36ka 
24479,T5N400R400,896.77,205,328,cb 4p 400a 36ka 
24454,T5S400R400,781.85,205,328,cb 3p 400a 50ka 
24478,T5S400R400,1000.13,205,328,cb 4p 400a 50ka 
24455,T5H400R400,895.74,205,328,cb 3p 400a 70ka 
24467,T5H400R400,1123.23,205,328,cb 4p 400a 70ka 
24456,T5N630R630,972.91,328,516.6,cb 3p 630a 36ka 
24468,T5N630R630,1231.83,328,516.6,cb 4p 630a 36ka 
24457,T5S630R630,1025.15,328,516.6,cb 3p 630a 50ka 
24469,T5S630R630,1290.48,328,516.6,cb 4p 630a 50ka 
24458,T5H630R630,1129.62,328,516.6,cb 3p 630a 70ka 
24470,T5H630R630,1411.06,328,516.6,cb 4p 630a 70ka 
29908,T6N800R800,1287.29,516.6,656,cb 3p 800a 36ka 
29911,T6N800R800,1612.49,516.6,656,cb 4p 800a 36ka 
29909,T6S800R800,1350.96,516.6,656,cb 3p 800a 50ka 
29912,T6S800R800,1662.58,516.6,656,cb 4p 800a 50ka 
29907,T6H800R800,1476.41,516.6,656,cb 3p 800a 70ka 
29910,T6H800R800,1867.33,516.6,656,cb 4p 800a 70ka 
44087,MS132-0.16,49.68,0.10,0.16,mpcb 0.1...0.16 100kA
44088,MS132-0.25,49.68,0.16,0.25,mpcb 0.16...0.25 100kA
44089,MS132-0.4,49.68,0.25,0.40,mpcb 0.25...0.4 100kA
44090,MS132-0.63,49.68,0.40,0.63,mpcb 0.4...0.63 100kA
44091,MS132-1.0,49.77,0.63,1.00,mpcb 0.63...1 100kA
44092,MS132-1.6,49.77,1.00,1.60,mpcb 1...1.6 100kA
44093,MS132-2.5,49.77,1.60,2.50,mpcb 1.6...2.5 100kA
44094,MS132-4.0,49.91,2.50,4.00,mpcb 2.5...4 100kA
44095,MS132-6.3,49.91,4.00,6.30,mpcb 4...6.3 100kA
44096,MS132-10.0,55.87,6.30,10.00,mpcb 6.3...10 100kA
44097,MS132-16.0,58.91,10.00,16.00,mpcb 10...16 100kA
44098,MS132-20.0,62.43,16.00,20.00,mpcb 16...20 100kA
44099,MS132-25.0,71.05,20.00,25.00,mpcb 20...25 50kA
44101,MS132-32.0,97.17,25.00,32.00,mpcb 25...32 25kA
78215,MS165-42,181.26,30.00,42.00,mpcb 30...42 50kA
78216,MS165-54,201.46,40.00,54.00,mpcb 40...54 30kA
78217,MS165-65,215.00,52.00,65.00,mpcb 52...65 30kA
701832,MS165-73,228.96,62.00,73.00,mpcb 62...73 30kA
701831,MS165-80,241.92,70.00,80.00,mpcb 70...80 30kA
15782,MS495-75,310.94,57.00,75.00,mpcb 57...75 25kA
17601,MS495-90,334.32,70.00,90.00,mpcb 70...90 25kA
17602,MS495-100,357.75,80.00,100.00,mpcb 80...100 25kA
45350,AF09-30-10-13,27.28,0,7,mrly 3p 009a
45357,AF12-30-10-13,30.75,7,10.5,mrly 3p 012a
45363,AF16-30-10-13,41.27,10.5,15,mrly 3p 018a
45369,AF26-30-00-13,55.90,15,22,mrly 3p 026a
45375,AF30-30-00-13,80.26,22,29,mrly 3p 032a
45378,AF38-30-00-13,97.88,29,35,mrly 3p 038a
72399,AF52-30-11-13,137.85,35,45.5,mrly 3p 053a
72400,AF65-30-11-13,198.03,45.5,59,mrly 3p 065a
72401,AF80-30-11-13,241.69,59,72.5,mrly 3p 080a
72407,AF96-30-11-13,296.37,72.5,88,mrly 3p 096a
72409,AF116-30-11-13,354.35,88,106,mrly 3p 116a
73580,AF140-30-11Β-13,376.97,106,128,mrly 3p 140a
73825,AF190-30-11-13,474.07,128,165,mrly 3p 190a
72413,AF205-30-11-13,685.41,165,197.5,mrly 3p 205a
72412,AF265-30-11-13,844.42,197.5,235,mrly 3p 265a
72411,AF305-30-11-13,1022.51,235,285,mrly 3p 305a
72427,AF370-30-11-13,1068.75,285,337.5,mrly 3p 370a
18291,AF400-30-11-13,1222.79,337.5,385,mrly 3p 400a
18292,AF460-30-11-13,1540.72,385,430,mrly 3p 460a
18293,AF580-30-11-13,2311.07,430,520,mrly 3p 580a
18294,AF750-30-11-13,3660.72,520,665,mrly 3p 750a
22659,AF1350-30-22-13,5759.59,665,805,mrly 3p 860a
24646,AF1650-30-22-13,7121.85,805,955,mrly 3p 1050a
45381,AF09-40-00-13,32.35,0,23,rly 4p 025a
45383,AF16-40-00-13,41.19,23,27.5,rly 4p 030a
47149,AF26-40-00-13,63.54,27.5,37.5,rly 4p 045a
47151,AF38-40-00-13,110.61,37.5,50,rly 4p 055a
75531,AF52-40-00-13,217.82,50,77.5,rly 4p 100a
75532,AF80-40-00-13,281.03,77.5,112.5,rly 4p 125a
75534,AF116-40-00-13,399.51,112.5,142.5,rly 4p 160a
75535,AF140-40-00B-13,443.42,142.5,180,rly 4p 200a
75536,AF190-40-00-13,619.54,180,225,rly 4p 250a
75537,AF205-40-00-13,916.66,225,262.5,rly 4p 275a
75538,AF265-40-00-13,1161.31,262.5,312.5,rly 4p 350a
75539,AF305-40-00-13,1471.78,312.5,362.5,rly 4p 375a
75540,AF370-40-00-13,1602.33,362.5,387.5,rly 4p 400a
12109,EK550-40-11,1906.12,387.5,600,rly 4p 800a
13611,EK1000-40-11,2614.12,600,900,rly 4p 1000a
83102,ESB20-20N 230 V AC/DC,22.94,0,16,rly 2p 020a
83118,ESB25-40N 230-240 V AC/DC,33.59,0,20,rly 4p 025a
83126,ESB40-40N 230 V AC/DC,55.42,20,32,rly 4p 040a
73542,SD201-25,4.95,0,14,sw 1p 025a
73546,SD201-32,5.2,14,18,sw 1p 032a
73550,SD201-40,5.72,18,21.5,sw 1p 040a
73554,SD201-50,6.71,21.5,28.5,sw 1p 050a
73558,SD201-63,7.18,28.5,39.5,sw 1p 063a
73498,E201-80,9.47,39.5,62.5,sw 1p 080a
73499,E201-100,10.4,62.5,90,sw 1p 100a
40465,E201-125,15.61,90,112.5,sw 1p 125a
73543,SD202-25,9.98,0,14,sw 2p 025a
73547,SD202-32,10.4,14,18,sw 2p 032a
73551,SD202-40,11.45,18,21.5,sw 2p 040a
73555,SD202-50,13.66,21.5,28.5,sw 2p 050a
73559,SD202-63,14.81,28.5,39.5,sw 2p 063a
43769,E202-80,18.95,39.5,62.5,sw 2p 080a
48424,E202-100,20.19,62.5,90,sw 2p 100a
48435,E202-125,31.52,90,112.5,sw 2p 125a
73544,SD203-25,14.77,0,14,sw 3p 025a
73548,SD203-32,15.19,14,18,sw 3p 032a
73552,SD203-40,17.58,18,21.5,sw 3p 040a
73556,SD203-50,21.33,21.5,28.5,sw 3p 050a
73560,SD203-63,23.93,28.5,39.5,sw 3p 063a
26548,E203-80,26.01,39.5,62.5,sw 3p 080a
26549,E203-100,33.29,62.5,90,sw 3p 100a
26550,E203-125,43.18,90,112.5,sw 3p 125a
73545,SD204-25,19.96,0,14,sw 4p 025a
73549,SD204-32,21.54,14,18,sw 4p 032a
73553,SD204-40,28.16,18,21.5,sw 4p 040a
73557,SD204-50,30.67,21.5,28.5,sw 4p 050a
73561,SD204-63,32.57,28.5,39.5,sw 4p 063a
26554,E204-80,36.67,39.5,62.5,sw 4p 080a
26555,E204-100,47.17,62.5,90,sw 4p 100a
26556,E204-125,57.58,90,112.5,sw 4p 125a
41686,OT16F3,17.52,0,14,sw 3p 16a
41692,OT25F3,24.75,14,18,sw 3p 20a
41698,OT40F3,26.92,18,21.5,sw 3p 23a
41704,OT63F3,31.61,21.5,34,sw 3p 45a
41710,OT80F3,35.81,34,60,sw 3p 75a
41676,OT100F3,55.55,60,77.5,sw 3p 80a
41680,OT125F3,63.5,77.5,85,sw 3p 90a
80650,OT160G03K,104.37,85,125,sw 3p 160a
12343,OT16FT3,26.7,0,14,sw 3p 16a
12344,OT25FT3,28.82,14,18,sw 3p 20a
12345,OT40FT3,31.22,18,21.5,sw 3p 23a
12346,OT63FT3,47.38,21.5,34,sw 3p 45a
12347,OT80FT3,52.25,34,60,sw 3p 75a
12348,OT100FT3,63.78,60,77.5,sw 3p 80a
12349,OT125FT3,81.97,77.5,85,sw 3p 90a
80654,OT160GΤ03P,160.24,85,125,sw 3p 160a
11512,OT16-3,25.97,0,14,sw 3p 16a
11513,OT25-3,33.2,14,18,sw 3p 20a
11514,OT40-3,35.37,18,21.5,sw 3p 23a
11515,OT63-3,42.38,21.5,34,sw 3p 45a
11516,OT80-3,46.58,34,60,sw 3p 75a
11509,OT100-3,66.32,60,77.5,sw 3p 80a
11510,OT125-3,74.27,77.5,85,sw 3p 90a
80651,OT160G03P,115.26,85,125,sw 3p 160a
44517,OT200E03WP,146.14,125,180,sw 3p 200a
44518,OT250E03WP,173.05,180,225,sw 3p 250a
44519,OT315E03P,231.75,225,282.5,sw 3p 315a
44520,OT400E03P,236.04,282.5,357.5,sw 3p 400a
44521,OT630E03P,320.63,357.5,515,sw 3p 630a
44522,OT800E03P,480.23,515,675,sw 3p 720a
14327,OT1000E03P,842.92,675,760,sw 3p 800a
14328,OT1250E03P,971.47,760,900,sw 3p 1000a
14329,OT1600E03P,1201.94,900,1000,sw 3p 1000a
42670,OT2000E03P,2074.58,1000,1500,sw 3p 2500a
42672,OT2500E03P,2463.05,1500,2250,sw 3p 2500a
73687,OT3200E03P,3908.04,2250,2850,sw 3p 3200a
41688,OT16F4N2,23.84,0,14,sw 4p 16a
41694,OT25F4N2,30.49,14,18,sw 4p 20a
41700,OT40F4N2,33.57,18,21.5,sw 4p 23a
41706,OT63F4N2,40.27,21.5,34,sw 4p 45a
41712,OT80F4N2,46.87,34,60,sw 4p 75a
41677,OT100F4N2,69.54,60,77.5,sw 4p 80a
41682,OT125F4N2,81.11,77.5,85,sw 4p 90a
80652,OT160G04Κ,140.05,85,125,sw 4p 160a
11544,OT16-4,32.29,0,14,sw 4p 16a
11545,OT25-4,38.94,14,18,sw 4p 20a
11546,OT40-4,42.02,18,21.5,sw 4p 23a
11547,OT63-4,51.04,21.5,34,sw 4p 45a
11548,OT80-4,57.64,34,60,sw 4p 75a
11541,OT100-4,80.31,60,77.5,sw 4p 80a
11542,OT125-4,91.88,77.5,85,sw 4p 90a
80653,OT160G04P,153.29,85,125,sw 4p 160a
44523,OT200E04WP,201.73,125,180,sw 4p 200a
44524,OT250E04WP,224.18,180,225,sw 4p 250a
44525,OT315E04P,276.64,225,282.5,sw 4p 315a
44526,OT400E04P,286.21,282.5,357.5,sw 4p 400a
44527,OT630E04P,418.93,357.5,515,sw 4p 630a
44528,OT800E04P,605.43,515,675,sw 4p 720a
14339,OT1000E04P,1101.48,675,760,sw 4p 800a
14352,OT1250E04P,1190.43,760,900,sw 4p 1000a
14353,OT1600E04P,1502.21,900,1000,sw 4p 1000a
42671,OT2000E04P,2480.47,1000,1500,sw 4p 2000a
42673,OT2500E04P,3017.89,1500,2250,sw 4p 2500a
73717,OT3200E04P,4680.5,2250,2850,sw 4p 3200a